model,SIPS,AS,AC
Qwen-72B,0.4877543795600871,0.4905824290638472,0.6423300564492892
Mistral-24B,0.5149726043714423,0.5093714162086044,0.6378443110470879
Phi-4,0.25677628160735483,0.3222014474007738,0.5160658221243979
Llama-3.3-70B,0.32643682252501405,0.37139374459292857,0.5482651448996623
Gemma-2-27B,0.47404886136680857,0.4692103917026065,0.6371632641115488
