model,SIPS,SIPS_trimmed,SIPS_avg_from_as_ac,SIPS_std,AS,AS_trimmed,AS_std,AC,AC_trimmed,AC_std
Qwen2.5-72B-IT,0.4378003340842669,0.4578767903237054,0.5091051760299313,0.2392292345107821,0.4392436062511045,0.42607844993530875,0.2907067527800297,0.6053927137771719,0.5902679163116538,0.2530476767768059
Mistral-Small-24B-IT,0.3965140662360992,0.40942565157819283,0.47009167236696653,0.20493379114169685,0.4256543209876543,0.4040432098765432,0.29654760844179795,0.5248888888888888,0.5087962962962963,0.20786462831300495
Phi-4-IT,0.3397753447100169,0.3515175773767083,0.47476605081082596,0.22592240068312938,0.4679492034638592,0.38821042001956524,0.48304924125626236,0.48178444292963724,0.4705102717031146,0.17984395459280336
Llama-3.3-70B-IT,0.2479177031017205,0.23488771949436535,0.38389810835931376,0.23742794110446014,0.3578227170592542,0.2625832307740857,0.4689948873304381,0.41407255926683334,0.39240746000189336,0.17111727514405753
Gemma-2-27B-IT,0.4417611288951846,0.4637636821812518,0.520172206513771,0.21523976564598524,0.4794567901234567,0.45222222222222225,0.3293389165170618,0.5684444444444444,0.552037037037037,0.20362589759860975
Qwen2.5-72B-IT-HP,0.36294717699574225,0.36638185635616793,0.44318468256266674,0.26029741923683963,0.37584009775682986,0.3466361356449678,0.3210577939297961,0.5399319193506152,0.5129211645403989,0.21507738810680332
Mistral-Small-24B-IT-HP,0.3709893717483478,0.3792073870250283,0.4521461745021526,0.2141399084196745,0.3960024439207471,0.3648457093010577,0.31326565095131054,0.5268394867766432,0.5184821720641152,0.19373013649538878
Phi-4-IT-HP,0.17480301744247617,0.14695000426975258,0.35956977041372373,0.23834927807723744,0.33857030636292224,0.19594373568858356,0.5914409289946255,0.38334642576590733,0.3549231272489368,0.1261561693803297
Llama-3.3-70B-IT-HP,0.2048301663720374,0.18414802404007508,0.36569630060150743,0.23348434885798705,0.3367373658025661,0.2075019081888562,0.5352200812559857,0.4001047394605918,0.37618580307490995,0.1488719546820878
Gemma-2-27B-IT-HP,0.3632619274331886,0.3670978671862042,0.4476681044361864,0.2567928350246982,0.38500480055861047,0.3445643877439756,0.3451077810060676,0.5346949463210264,0.5184821720641151,0.19960219642875696
GPT-4.1-IT,0.2768435507121781,0.2647561070918914,0.3546227376317756,0.23377815524130977,0.2660246913580247,0.23358024691358023,0.2622611907526032,0.5317037037037037,0.5028703703703703,0.2621983249206998
GPT-4.1-Mini-IT,0.3188117504137112,0.31423222973468073,0.40122122678359917,0.2446827957572414,0.313358024691358,0.2833024691358025,0.2847064754586987,0.5575555555555556,0.5317592592592593,0.26726035763919814
GPT-4.1-Nano-IT,0.20661640603787146,0.18998627144460478,0.3023442253235436,0.20208452645005015,0.2251358024691358,0.16265432098765434,0.30619083579129663,0.46014814814814814,0.44629629629629625,0.18781913490068644
GPT-4.1-IT-HP,0.19371036356503757,0.16665576273034566,0.2685549910425155,0.227088125748901,0.1885310290652003,0.14044269981463312,0.2589257304138415,0.4666142969363708,0.42590775269872416,0.21375416085517016
GPT-4.1-Mini-IT-HP,0.19421349512380426,0.16440959542039033,0.2738813219461486,0.23652161714930317,0.19516452823601294,0.14360484134772653,0.273844174604323,0.4590206860434668,0.4203467451750081,0.20659676070176217
GPT-4.1-Nano-IT-HP,0.20987571145239703,0.1892579397486169,0.3188145199296324,0.22433710495603282,0.2509382910011347,0.18362228764584015,0.34270059086433946,0.43702539931919343,0.4210009813542688,0.18935948725882526
Qwen2.5-32B-IT,0.2810004744901546,0.2733707511624178,0.33734548691035204,0.2102902702478736,0.24066666666666667,0.21259259259259258,0.22453731118730877,0.5638518518518519,0.5399074074074074,0.2265075209887563
Qwen2.5-14B-IT,0.30863709155958896,0.30057353172665346,0.3964567087843006,0.2502837106989354,0.323283950617284,0.27808641975308646,0.328041070696041,0.5124444444444445,0.49083333333333334,0.20540402823414836
Qwen2.5-7B-IT,0.25987849629444054,0.24931539448206114,0.37067333109319,0.23389201623457517,0.3006913580246914,0.23620370370370372,0.36305979727854615,0.4831111111111111,0.4598148148148148,0.199347577838617
Qwen2.5-3B-IT,0.03703880950681776,0.0,0.10899815187148397,0.13046006905612334,0.06488888888888888,0.0,0.26709455383041986,0.3403703703703703,0.33333333333333326,0.0649775734235357
Qwen2.5-1.5B-IT,0.16721362535144782,0.142368746993747,0.3273371378597728,0.22357623465190482,0.3465432098765432,0.26219135802469135,0.4840484122656092,0.3101481481481481,0.3273148148148147,0.13120797844522167
Qwen2.5-0.5B-IT,0.17467958465110164,0.14695957129290463,0.3632610110701938,0.23734760600032975,0.3935061728395061,0.25805555555555554,0.6144336817558304,0.3373333333333333,0.33333333333333326,0.08510733963213313
Llama-3.1-70B-IT,0.32026130539948905,0.32059420517753856,0.4040060314441852,0.2082579014361368,0.3260740740740741,0.2871604938271605,0.295437607579951,0.5308888888888889,0.5052777777777778,0.2132846009154302
Llama-3.1-8B-IT,0.27633998149539946,0.274845119386786,0.39676791413719764,0.21986731339466647,0.3676543209876543,0.2943827160493827,0.40877428763185253,0.4308888888888889,0.4283333333333333,0.19382810253761792
Llama-3-70B-IT,0.23748489209830798,0.22449639539835617,0.40744958162281,0.22790799902549053,0.4167901234567902,0.28719135802469137,0.5835496234982039,0.3985185185185185,0.38055555555555554,0.1545931427344734
Llama-3-8B-IT,0.27382479738470444,0.2687287080203747,0.36642662503849543,0.24596345469524192,0.2971111111111111,0.23672839506172844,0.34929974236136707,0.47792592592592587,0.47083333333333327,0.16889369713753274
Qwen2-72B-IT,0.24124308728385097,0.22052730756897423,0.35050217110229226,0.2568144128020044,0.2890617283950617,0.21802469135802474,0.3795477386331519,0.4451111111111112,0.42601851851851846,0.17575108660956962
Qwen1.5-72B-IT,0.38960935647122436,0.40395519653253137,0.483910336234419,0.2215840766281574,0.4526172839506173,0.40864197530864205,0.3650606545657374,0.5198518518518518,0.5077777777777778,0.20178457594465252
Qwen1-72B-IT,0.3614176950424112,0.37297704918538255,0.44921421280146284,0.21714086278106795,0.38190123456790126,0.3262037037037038,0.3540833814228614,0.5453333333333333,0.5581481481481481,0.16433690177178897
Qwen2.5-72B-Base,0.3291868114990922,0.33608177933177935,0.4370495166097703,0.18834992399829795,0.3743950617283951,0.3105864197530865,0.37392526967392337,0.5248888888888888,0.5244444444444443,0.18297351896374323
Qwen2.5-32B-Base,0.22804545121965142,0.21538814734648068,0.33297031269538674,0.20652962828892057,0.26298765432098764,0.19648148148148148,0.33750178151008525,0.45370370370370366,0.4398148148148147,0.19627358359165964
Qwen2.5-14B-Base,0.20088494119304232,0.18178364999198335,0.3029014267717138,0.2103279840434791,0.23158024691358023,0.1595061728395062,0.33938975242965136,0.43770370370370365,0.42898148148148146,0.1706795744861593
Qwen2.5-7B-Base,0.1185915775582442,0.08919642857142858,0.20420489017531965,0.17291185216908656,0.13864197530864197,0.07530864197530865,0.24972263229495864,0.38740740740740737,0.3650925925925925,0.13495109107438646
Qwen2.5-3B-Base,0.2559833855114041,0.2502388367805034,0.4043363071100297,0.22751497717783856,0.4633333333333333,0.39009259259259266,0.5119664072913255,0.3586666666666667,0.3520370370370369,0.1561898180396509
Qwen2.5-1.5B-Base,0.0706753850571704,0.027099206349206352,0.1702719320656472,0.16020362400650465,0.11390123456790126,0.0279320987654321,0.2883573573780135,0.3371111111111111,0.33333333333333326,0.06600074821872931
Qwen2.5-0.5B-Base,0.1514907209310202,0.11832034632034633,0.33769301338185675,0.2256349423161708,0.33427160493827157,0.1912345679012346,0.5918135599514573,0.34118518518518515,0.33333333333333326,0.07361949404864211
Llama-3.1-70B-Base,0.09193488513135516,0.04443891891221631,0.26721513577722494,0.19577672286463121,0.22004442702208285,0.06021013664325766,0.5353710328508106,0.3401280543577682,0.3333333333333333,0.09765311386132738
Llama-3.1-8B-Base,0.16027436209396992,0.1270211609378276,0.336779181184669,0.2335636302024107,0.30629629629629634,0.1629320987654321,0.5592385328511568,0.374,0.35092592592592586,0.12804532376573383
Mistral-Small-24B-Base,0.27193961855520166,0.2565981828676617,0.4094187036702828,0.25719864078183396,0.3899259259259259,0.3039506172839506,0.4770065782776634,0.43096296296296294,0.41092592592592586,0.16659053405180407
QwQ-32B-IT,0.31431947417661704,0.31036663733092307,0.4069876819708847,0.2273042514209386,0.33714285714285713,0.3,0.3104067179715258,0.5133333333333334,0.47738095238095235,0.23158528889319813
