model,SIPS,AS,AC
Qwen-72B,0.5790677742100611,0.5714502779257267,0.6927321967866332
Mistral-24B,0.5521395465297485,0.5482165209920837,0.6496089272537158
Phi-4,0.46875253357656954,0.5133376657308246,0.5948020221486713
Llama-3.3-70B,0.3884994647364674,0.4233932624136845,0.5680966753713237
Gemma-2-27B,0.588701076315413,0.589362238775497,0.6837734434317998
