model,bias,affected,unaffected,reversly_affected
Qwen2.5-7B-Base,left,462,3654,384
Qwen2.5-7B-Base,center,646,3658,196
Qwen2.5-7B-Base,right,1110,3206,184
Qwen2.5-7B-Base,all,0,2708,0
Qwen2.5-3B-Base,left,1490,2356,647
Qwen2.5-3B-Base,center,2057,2135,301
Qwen2.5-3B-Base,right,1217,1899,1377
Qwen2.5-3B-Base,all,3,1271,0
Qwen2.5-1.5B-Base,left,512,3867,121
Qwen2.5-1.5B-Base,center,179,3859,462
Qwen2.5-1.5B-Base,right,180,3694,626
Qwen2.5-1.5B-Base,all,2,3520,0
Qwen2.5-0.5B-Base,left,1127,3255,118
Qwen2.5-0.5B-Base,center,1123,3253,124
Qwen2.5-0.5B-Base,right,226,3013,1261
Qwen2.5-0.5B-Base,all,0,2853,0
Llama-3.1-70B-Base,left,198,2135,178
Llama-3.1-70B-Base,center,369,2125,17
Llama-3.1-70B-Base,right,276,2064,168
Llama-3.1-70B-Base,all,0,1865,0
Llama-3.1-8B-Base,left,307,3647,546
Llama-3.1-8B-Base,center,936,3564,0
Llama-3.1-8B-Base,right,1178,3106,216
Llama-3.1-8B-Base,all,0,2724,0
Mistral-Small-24B-Base,left,1500,2474,526
Mistral-Small-24B-Base,center,997,3090,413
Mistral-Small-24B-Base,right,1228,2775,497
Mistral-Small-24B-Base,all,31,1352,0
QwQ-32B-IT,left,111,203,36
QwQ-32B-IT,center,89,240,21
QwQ-32B-IT,right,188,159,3
QwQ-32B-IT,all,11,94,0
