model,SIPS,SIPS_trimmed,SIPS_avg_from_as_ac,SIPS_std,AS,AS_trimmed,AS_std,AC,AC_trimmed,AC_std
Mistral-Small-24B-IT,0.6493655699820182,0.6469445168030776,0.6121551127207697,0.17719215234848937,0.7103703703703704,0.6981481481481483,0.33264867958992683,0.4948148148148147,0.4666666666666667,0.2145285448853945
Phi-4-IT,0.5503113846531814,0.5422118705987411,0.5086058059775806,0.22974229602377955,0.5958024691358024,0.562037037037037,0.37478691807244024,0.4029629629629629,0.39444444444444443,0.23113485158217095
Llama-3.3-70B-IT,0.5756655525425448,0.5455933369640855,0.5315459876829055,0.31013092086535304,0.6595061728395063,0.6120370370370372,0.5040067473776767,0.3607407407407407,0.36759259259259264,0.18983929381451697
GPT-4.1-IT,0.4059474649225134,0.3864928692786564,0.37131340847033956,0.17298973550452573,0.21950617283950616,0.17962962962962964,0.25145563119805087,0.4770370370370369,0.4388888888888889,0.22463382793548536
Qwen2.5-72B-IT,0.594956952941847,0.6116670244137745,0.5574427480149273,0.18987801080799876,0.4869135802469136,0.47716049382716047,0.29565939778751527,0.62,0.6120370370370369,0.26674998698323404
Gemma-2-27B-IT,0.6625058271913642,0.6604223805536444,0.6283008006141891,0.20505181885617174,0.7753086419753086,0.769753086419753,0.3722831266840554,0.43407407407407406,0.4203703703703704,0.18385298593973792
