model,SIPS,SIPS_trimmed,SIPS_avg_from_as_ac,SIPS_std,AS,AS_trimmed,AS_std,AC,AC_trimmed,AC_std
Mistral-Small-24B-IT,0.35669421080749836,0.32951412643960504,0.32605052799664225,0.17052640175010153,0.1330864197530864,0.06450617283950617,0.263114081657498,0.4414814814814815,0.4203703703703704,0.17542267200848166
Phi-4-IT,0.36634731598495124,0.25934348682430375,0.28356656797979923,0.34494318835528154,0.22839506172839505,0.05,0.5851291841725218,0.3296296296296296,0.3333333333333333,0.05653458341656943
Llama-3.3-70B-IT,0.36388841650440895,0.3361831036494694,0.3183222670364196,0.18380830961176994,0.20938271604938272,0.13703703703703704,0.32685016728602134,0.3985185185185185,0.38333333333333336,0.15136507344672878
GPT-4.1-IT,0.29322601734809084,0.26545449165920776,0.26610457449351954,0.13260856775726262,0.09382716049382715,0.03271604938271605,0.22729464637758137,0.36444444444444446,0.3388888888888889,0.11767290928776647
