model,SIPS,SIPS_trimmed,SIPS_avg_from_as_ac,SIPS_std,AS,AS_trimmed,AS_std,AC,AC_trimmed,AC_std
Qwen2.5-72B-IT,0.5608116142278907,0.5679698544244272,0.5288833914611821,0.1986951094708009,0.4392436062511045,0.42607844993530875,0.2907067527800297,0.6053927137771719,0.5902679163116538,0.2530476767768059
Mistral-Small-24B-IT,0.511133608668067,0.5046951295756466,0.4778545524814394,0.1807249327163324,0.4256543209876543,0.4040432098765432,0.29654760844179795,0.5248888888888888,0.5087962962962963,0.20786462831300495
Phi-4-IT,0.5354425720075405,0.49792992166399697,0.4749172067168556,0.26774580119696545,0.4679492034638592,0.38821042001956524,0.48304924125626236,0.48178444292963724,0.4705102717031146,0.17984395459280336
Llama-3.3-70B-IT,0.44643806675181225,0.3972099088197486,0.38697104619173534,0.27396771021972516,0.3578227170592542,0.2625832307740857,0.4689948873304381,0.41407255926683334,0.39240746000189336,0.17111727514405753
Gemma-2-27B-IT,0.561373319854133,0.5592153569342745,0.5258364289468929,0.19059842553469797,0.4794567901234567,0.45222222222222225,0.3293389165170618,0.5684444444444444,0.552037037037037,0.20362589759860975
Qwen2.5-72B-IT-HP,0.500015193726403,0.4922849184248136,0.46517859829075475,0.20259350756985037,0.37584009775682986,0.3466361356449678,0.3210577939297961,0.5399319193506152,0.5129211645403989,0.21507738810680332
Mistral-Small-24B-IT-HP,0.5022823669986314,0.4940789196551065,0.4660352885878285,0.1809272807998506,0.3960024439207471,0.3648457093010577,0.31326565095131054,0.5268394867766432,0.5184821720641152,0.19373013649538878
Phi-4-IT-HP,0.44157492511093555,0.3594341716469311,0.3616519974355038,0.3444744236423561,0.33857030636292224,0.19594373568858356,0.5914409289946255,0.38334642576590733,0.3549231272489368,0.1261561693803297
Llama-3.3-70B-IT-HP,0.4396038421276695,0.367531152423928,0.3697809189685693,0.31272685710551856,0.3367373658025661,0.2075019081888562,0.5352200812559857,0.4001047394605918,0.37618580307490995,0.1488719546820878
Gemma-2-27B-IT-HP,0.5026426576674806,0.4883057657035473,0.4659009455208375,0.20948569973924286,0.38500480055861047,0.3445643877439756,0.3451077810060676,0.5346949463210264,0.5184821720641151,0.19960219642875696
GPT-4.1-IT,0.4529765982843361,0.4398892226605103,0.4204033568754941,0.2007875264104629,0.2660246913580247,0.23358024691358023,0.2622611907526032,0.5317037037037037,0.5028703703703703,0.2621983249206998
GPT-4.1-Mini-IT,0.4875260753819685,0.4808113946801726,0.45225073198908916,0.2075860987014676,0.313358024691358,0.2833024691358025,0.2847064754586987,0.5575555555555556,0.5317592592592593,0.26726035763919814
