,avg_ap,std_ap,avg_guardian,std_guardian,avg_huffpost,std_huffpost,avg_bbc,std_bbc,avg_forbes,std_forbes,avg_cnbc,std_cnbc,avg_fox,std_fox,avg_daily_mail,std_daily_mail,avg_breitbart,std_breitbart
Qwen2.5-72B-IT,0.04,0.8023299404442871,-1.1506666666666667,1.4719486706026432,-1.332,1.478437012523699,-0.032,0.9232060080682606,0.112,0.6837075398150879,0.005333333333333333,0.57963053366395,1.768,1.4159246684293156,1.5346666666666666,1.387370974981898,1.736,1.4121982863606655
Mistral-Small-24B-IT,-0.22666666666666666,1.0337418547307748,-1.3586666666666667,1.6992228288903788,-1.984,1.8051068297102715,-0.408,1.1070392946955405,0.45866666666666667,1.0393707498075724,0.06533333333333333,0.9199990338159176,0.9706666666666667,1.257168600025028,0.9293333333333333,1.2555236180795468,0.9773333333333334,1.2594256186408506
Phi-4-IT,0.05733333333333333,1.5194449278894213,-1.3133333333333332,1.8505374594665431,-0.764,1.6654240701194796,-0.296,1.5774612515050885,0.37733333333333335,1.5505760936575224,0.17733333333333334,1.5842620434202868,1.556,1.9846571492325822,0.17333333333333334,1.6303237578945955,1.188,1.9375214407415815
Llama-3.3-70B-IT,-0.096,1.3726315358949512,-0.632,1.8634849073711328,-0.5403602401601068,1.8157836280155708,-0.12933333333333333,1.4224179726398598,0.2986666666666667,1.3491225131749731,0.2,1.3495678320608169,0.9226666666666666,1.37865377169985,0.48133333333333334,1.3546161407900355,0.9413333333333334,1.4101624807880198
Gemma-2-27B-IT,0.34156104069379584,1.1484597531678165,-2.117411607738492,1.721685173868119,-2.352234823215477,1.7360940903904405,0.10140093395597065,1.178127056362379,0.45096731154102737,1.1979374361791646,0.13208805870580387,1.1084750128684016,1.2021347565043363,1.6100404547806069,0.9939959973315544,1.512003553505921,1.2168112074716477,1.6180553061304614
GPT-4.1-IT,0.19733333333333333,0.7956503978227847,-0.5586666666666666,0.9149999392835438,-0.8506666666666667,1.0101317845817062,0.18933333333333333,0.8009283502425308,0.13333333333333333,0.6559132733999383,0.02,0.6084954121985364,1.2226666666666666,1.1365530735029001,0.588,0.9624219448869605,1.468,1.1965127106164257
Qwen2.5-72B-IT-HP,0.013869625520110958,0.8523942812699684,-0.9209431345353676,1.4880447096081055,-0.9902912621359223,1.4938301398067118,0.0027739251040221915,0.962540019990301,0.06657420249653259,0.7492987366748176,-0.033287101248266296,0.729030581568941,1.7170596393897364,1.5293160049659733,1.5561719833564494,1.4980222906157907,1.6865464632454923,1.525174554341727
Mistral-Small-24B-IT-HP,-0.18307905686546463,0.9420324800518395,-1.331484049930652,1.625804105783842,-1.8418862690707352,1.7976618481276398,-0.42995839112343964,1.0785468846820374,0.29403606102635227,1.0004606117148274,-0.047156726768377254,0.8956642916221056,0.9459084604715673,1.280868740146543,0.7600554785020804,1.2326406809122237,1.0346740638002774,1.2987421357209743
Phi-4-IT-HP,-0.37725381414701803,1.5665482619684263,-0.8848821081830791,1.6851497976353471,-0.6296809986130375,1.5579979447612498,-0.6074895977808599,1.5808842292043384,-0.26629680998613037,1.4993623297768164,-0.34396671289875175,1.4834717009030471,0.39389736477115117,1.7752080413350981,-0.36893203883495146,1.57029643643928,0.20249653259361997,1.71411514082555
Llama-3.3-70B-IT-HP,-0.005547850208044383,1.4288380236816216,-0.29403606102635227,1.6494711273879772,-0.24687933425797504,1.6182281189009713,-0.013869625520110958,1.5282187575980792,0.30513176144244103,1.4038144056646318,0.2274618585298197,1.4184714943581598,0.9875173370319001,1.4751231905270263,0.44937586685159503,1.5111248206204746,1.0069348127600555,1.4713940505728924
Gemma-2-27B-IT-HP,0.2829403606102635,1.0522284432855975,-1.6061026352288488,1.6920033626451476,-2.0249653259361997,1.7671492295869884,0.12205270457697642,1.087859725443971,0.3606102635228849,1.0756679255738049,0.11650485436893204,1.025482256722658,1.117891816920943,1.5440724633028928,0.8959778085991679,1.417738982315269,1.1206657420249653,1.5474474891074133
GPT-4.1-IT-HP,-0.022191400832177532,0.8619277635666768,-0.43828016643550627,0.9343969903920851,-0.6712898751733704,1.106716163394718,-0.011095700416088766,0.8685531150864133,0.047156726768377254,0.7244460041194989,-0.08044382801664356,0.7589815955467489,0.9459084604715673,1.209584028840978,0.4826629680998613,0.9825335129972,1.2843273231622747,1.364658385337122
