,none_pos_rate,none_neg_rate,none_neu_rate,left_pos_rate,left_neg_rate,left_neu_rate,right_pos_rate,right_neg_rate,right_neu_rate,center_pos_rate,center_neg_rate,center_neu_rate,left_pos_diff,left_neg_diff,left_neu_diff,right_pos_diff,right_neg_diff,right_neu_diff,center_pos_diff,center_neg_diff,center_neu_diff
KCe9XrMFqhKjfRsr,0.0,0.0,1.0,0.0,0.08,0.92,0.0,0.0,1.0,0.0,0.018518518518518517,0.9814814814814815,0.0,0.08,0.07999999999999996,0.0,0.0,0.0,0.0,0.018518518518518517,0.01851851851851849
hdGqXF93QTCKtL5f,0.8333333333333334,0.16666666666666666,0.0,0.21818181818181817,0.2,0.5818181818181818,0.6078431372549019,0.0784313725490196,0.3137254901960784,0.16666666666666666,0.125,0.7083333333333334,0.6151515151515152,0.033333333333333354,0.5818181818181818,0.22549019607843146,0.08823529411764705,0.3137254901960784,0.6666666666666667,0.04166666666666666,0.7083333333333334
94G4ztLbuc3Y5htF,1.0,0.0,0.0,0.5769230769230769,0.4230769230769231,0.0,1.0,0.0,0.0,0.972972972972973,0.02702702702702703,0.0,0.42307692307692313,0.4230769230769231,0.0,0.0,0.0,0.0,0.027027027027026973,0.02702702702702703,0.0
9VJANqbTriOxTDOM,0.0,0.0,1.0,0.0,0.02564102564102564,0.9743589743589743,0.0,0.10526315789473684,0.8947368421052632,0.0,0.23529411764705882,0.7647058823529411,0.0,0.02564102564102564,0.02564102564102566,0.0,0.10526315789473684,0.10526315789473684,0.0,0.23529411764705882,0.23529411764705888
KGdMpPGh5F8L8Af2,0.0,1.0,0.0,0.018867924528301886,0.22641509433962265,0.7547169811320755,0.017241379310344827,0.017241379310344827,0.9655172413793104,0.01694915254237288,0.13559322033898305,0.847457627118644,0.018867924528301886,0.7735849056603774,0.7547169811320755,0.017241379310344827,0.9827586206896551,0.9655172413793104,0.01694915254237288,0.864406779661017,0.847457627118644
zOrIZJggYXzxzBQ9,1.0,0.0,0.0,0.8076923076923077,0.0,0.19230769230769232,1.0,0.0,0.0,0.9423076923076923,0.0,0.057692307692307696,0.1923076923076923,0.0,0.19230769230769232,0.0,0.0,0.0,0.05769230769230771,0.0,0.057692307692307696
uhC7i6X4OSzc2mXp,0.1,0.0,0.9,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.1,0.0,0.09999999999999998,0.1,0.0,0.09999999999999998,0.1,0.0,0.09999999999999998
5r9DUt7clgI1Ub7t,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9615384615384616,0.038461538461538464,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538436,0.038461538461538464,0.0,0.0,0.0
pG7vpssJrkZEe0I6,0.1,0.1,0.8,0.10256410256410256,0.05128205128205128,0.8461538461538461,0.09090909090909091,0.0,0.9090909090909091,0.02564102564102564,0.2564102564102564,0.717948717948718,0.002564102564102555,0.048717948717948725,0.0461538461538461,0.009090909090909094,0.1,0.10909090909090902,0.07435897435897437,0.15641025641025638,0.08205128205128209
UxkzJci1zvW0B1Al,0.0,0.9,0.1,0.0,0.9649122807017544,0.03508771929824561,0.0,0.9344262295081968,0.06557377049180328,0.0,0.3888888888888889,0.6111111111111112,0.0,0.06491228070175437,0.0649122807017544,0.0,0.03442622950819674,0.03442622950819672,0.0,0.5111111111111111,0.5111111111111112
JEcwanxBozEYULgh,0.0,1.0,0.0,0.0,0.9736842105263158,0.02631578947368421,0.0,0.9642857142857143,0.03571428571428571,0.0,0.8857142857142857,0.11428571428571428,0.0,0.02631578947368418,0.02631578947368421,0.0,0.0357142857142857,0.03571428571428571,0.0,0.11428571428571432,0.11428571428571428
X8qf9qjXBrwAF4dY,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jZNFS14qxQyZOYjw,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3137254901960784,0.6862745098039216,0.0,0.375,0.625,0.0,0.32142857142857145,0.6785714285714286,0.0,0.019607843137254888,0.019607843137254943,0.0,0.041666666666666685,0.04166666666666663,0.0,0.011904761904761862,0.011904761904761973
xdtHHInAXBqhMrRS,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9833333333333333,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01666666666666672,0.016666666666666666
