,none_pos_rate,none_neg_rate,none_neu_rate,left_pos_rate,left_neg_rate,left_neu_rate,right_pos_rate,right_neg_rate,right_neu_rate,center_pos_rate,center_neg_rate,center_neu_rate,left_pos_diff,left_neg_diff,left_neu_diff,right_pos_diff,right_neg_diff,right_neu_diff,center_pos_diff,center_neg_diff,center_neu_diff
KCe9XrMFqhKjfRsr,0.0,0.0,1.0,0.0,0.06976744186046512,0.9302325581395349,0.0,0.07894736842105263,0.9210526315789473,0.0,0.02702702702702703,0.972972972972973,0.0,0.06976744186046512,0.06976744186046513,0.0,0.07894736842105263,0.07894736842105265,0.0,0.02702702702702703,0.027027027027026973
hdGqXF93QTCKtL5f,0.8888888888888888,0.1111111111111111,0.0,0.7083333333333334,0.125,0.16666666666666666,0.7272727272727273,0.18181818181818182,0.09090909090909091,0.8620689655172413,0.06896551724137931,0.06896551724137931,0.18055555555555547,0.013888888888888895,0.16666666666666666,0.16161616161616155,0.07070707070707072,0.09090909090909091,0.026819923371647514,0.042145593869731796,0.06896551724137931
94G4ztLbuc3Y5htF,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9VJANqbTriOxTDOM,0.3333333333333333,0.0,0.6666666666666666,0.16666666666666666,0.0,0.8333333333333334,0.0,0.0,1.0,0.041666666666666664,0.041666666666666664,0.9166666666666666,0.16666666666666666,0.0,0.16666666666666674,0.3333333333333333,0.0,0.33333333333333337,0.29166666666666663,0.041666666666666664,0.25
KGdMpPGh5F8L8Af2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.03225806451612903,0.967741935483871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.032258064516129004
zOrIZJggYXzxzBQ9,0.7857142857142857,0.0,0.21428571428571427,0.2702702702702703,0.0,0.7297297297297297,0.3611111111111111,0.0,0.6388888888888888,0.21052631578947367,0.0,0.7894736842105263,0.5154440154440154,0.0,0.5154440154440154,0.4246031746031746,0.0,0.42460317460317454,0.575187969924812,0.0,0.575187969924812
uhC7i6X4OSzc2mXp,0.2,0.0,0.8,0.12,0.0,0.88,0.10714285714285714,0.03571428571428571,0.8571428571428571,0.11538461538461539,0.0,0.8846153846153846,0.08000000000000002,0.0,0.07999999999999996,0.09285714285714287,0.03571428571428571,0.05714285714285705,0.08461538461538462,0.0,0.08461538461538454
5r9DUt7clgI1Ub7t,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pG7vpssJrkZEe0I6,0.0,0.0,1.0,0.03571428571428571,0.0,0.9642857142857143,0.0,0.0,1.0,0.05,0.15,0.8,0.03571428571428571,0.0,0.0357142857142857,0.0,0.0,0.0,0.05,0.15,0.19999999999999996
UxkzJci1zvW0B1Al,0.0,0.4444444444444444,0.5555555555555556,0.0,0.8214285714285714,0.17857142857142858,0.0,0.9090909090909091,0.09090909090909091,0.0,0.7894736842105263,0.21052631578947367,0.0,0.376984126984127,0.376984126984127,0.0,0.46464646464646464,0.46464646464646464,0.0,0.3450292397660819,0.3450292397660819
